연번,광역지자체명,기초지자체명,법인명,상호,업태,소재지,Latitude,Longitude,건물 연면적,영업장 면적,매장면적,영업개시일
38,인천광역시,서구,신서경산업개발(㈜,서경백화점,백화점,(22778) 인천광역시 서구 가정로 369,37.5198956,126.6720607,14631.95㎡,7769㎡,7769㎡,1994-03-16
39,인천광역시,서구,에이원개발㈜,탑스빌웰빙타운,쇼핑센터,(22640) 인천광역시 서구 완정로 70,37.5978453,126.6693163,14235.23㎡,3933.58㎡,3933.58㎡,2005-08-05
40,인천광역시,서구,(주)오름,청라스퀘어세븐,쇼핑센터,(22761) 인천광역시 서구 청라루비로 76 (청라동),37.5329444,126.6428212,64204㎡,40749.52㎡,38642.78㎡,2018-06-23
41,인천광역시,서구,㈜케이씨씨글라스,HOME CC 인천점,전문점,(22769) 인천광역시 서구 중봉대로393번길 16 (원창동),37.5154334,126.6471191,"16,581.49㎡","10,966.88㎡","9,649.88㎡",2010-05-25
42,인천광역시,서구,백제종합상가건립조합,검단공구상가,전문점,(22666) 인천광역시 서구 보듬5로 13,37.5939682,126.6127015,5676.92㎡,5676.92㎡,4912.37㎡,2012-12-28
43,인천광역시,서구,㈜대명화학,㈜대명화학유통산업부 인천점,전문점,(22769) 인천광역시 서구 북항로32번안길50,37.5102855,126.6477638,44660.76㎡,44660.76㎡,21447.6㎡,2016-02-19
44,인천광역시,연수구,(주)이마트,이마트 연수점,대형마트,(21975) 인천광역시 연수구 경원대로 184 (동춘동),37.4015236,126.6781479,"48,452㎡","48,452㎡","18,016㎡",2002-12-12
45,인천광역시,연수구,롯데쇼핑㈜,롯데마트 연수점,대형마트,(21926) 인천광역시 연수구 청능대로 87 (청학동),37.4163612,126.6756,"26,003㎡","14,249㎡","9,197㎡",2000-03-23
46,인천광역시,연수구,홈플러스㈜,홈플러스 인천연수점,대형마트,(21975) 인천광역시 연수구 청능대로 210 (동춘동),37.4059785,126.6837028,"67,991㎡","30,040㎡","27,543㎡",2012-08-23
47,인천광역시,연수구,롯데쇼핑㈜,롯데마트 송도점,대형마트,(21998) 인천광역시 연수구 컨벤시아대로 177 (송도동),37.386776,126.6439586,"32,394㎡","15,384㎡","10,874㎡",2013-12-19
48,인천광역시,연수구,(주)코스트코 코리아,코스트코 홀세일 송도점,대형마트,(22009) 인천광역시 연수구 컨벤시아대로230번길 60 (송도동),37.3897241,126.6333018,"47,003㎡","16,784㎡","13,875㎡",2017-01-09
49,인천광역시,연수구,㈜서부티엔디,스퀘어 원,복합쇼핑몰,(21975) 인천광역시 연수구 청능대로 210 (동춘동),37.4059785,126.6837028,"169,052㎡","108,205㎡","88,351㎡",2012-10-05
50,인천광역시,연수구,㈜이랜드리테일,NC큐브 커넬워크점,쇼핑센터,(22002) 인천광역시 연수구 아트센터대로 87 (송도동),37.3981713,126.6444421,"118,247㎡","40,862㎡","19,786㎡",2013-08-31
51,인천광역시,연수구,홈플러스㈜,홈플러스 인천송도점,쇼핑센터,(21984) 인천광역시 연수구 송도국제대로 165 (송도동),37.3804446,126.660716,"48,508㎡","31,077㎡","29,337㎡",2015-10-15
52,인천광역시,연수구,㈜현대백화점,현대백화점 프리미엄 아울렛 송도점,쇼핑센터,(21984) 인천광역시 연수구 송도국제대로 123 (송도동),37.3804446,126.660716,"136,534㎡","58,547㎡","44,643㎡",2016-04-27
53,인천광역시,연수구,(주)에스디프런티어,트리플 스트리트,쇼핑센터,(21984) 인천광역시 연수구 송도과학로16번길 33-3 (송도동),37.3797052,126.6611086,"191,091㎡","191,091㎡","73,020㎡",2017-04-29
54,인천광역시,연수구,㈜엘에프네트웍스,엘에프네트웍스연수점,전문점,(21915) 인천광역시 연수구 청능대로23번길 11 (청학동),37.4194191,126.668968,"30,931㎡","17,180㎡","13,540㎡",2012-12-21
55,인천광역시,중구,주식회사 상봉,버터플라이시티,그 밖의 대규모점포,(22371) 인천광역시 중구 흰바위로59번길 8(운서동) 1~2층,37.4922722,126.4924324,70960.47㎡,7522.89㎡,6296.89㎡,2021-06-30
56,인천광역시,중구,㈜이마트,이마트동인천점,대형마트,(22324) 인천광역시 중구 인중로 134,37.467478,126.6303727,"39,947㎡","18,493㎡",10337㎡,2001-01-06
57,인천광역시,중구,롯데쇼핑㈜롯데마트,롯데쇼핑㈜롯데마트 영종도점,대형마트,(22371) 인천광역시 중구 흰바위로 51,37.4936669,126.4910461,33219㎡,18426㎡,8621㎡,2006-12-21
