ㄱ,주소
인천성리중학교,인천광역시 남동구 성리로 26(구월동. 성리중학교)
인천동방중학교,인천광역시 남동구 논현역로 41(논현동. 동방중학교)
인천정각중학교,인천광역시 남동구 구월로 240(구월동. 정각중학교)
인천서창중학교,인천광역시 남동구 독곡로60번길 16(서창동. 서창중학교)
인천해송중학교,인천광역시 연수구 해송로 148(송도동. 인천해송중학교)
숭덕여자중학교,인천광역시 남동구 만수로73번길 20-23(만수동. 숭덕여자중고등학교)
인천현송중학교,인천광역시 연수구 아카데미로312번길 84(송도동. 인천현송중학교)
구월여자중학교 부설 방송통신중학교,인천광역시 남동구 성말로 13번길 78
인천예일중학교,인천광역시 계양구 장제로995번길 39(방축동. 인천예일중학교)
인천청람중학교,인천광역시 서구 청라커낼로 335(청라동. 인천청람중학교)
가정여자중학교,인천광역시 서구 고래울로28번길 13(가좌동. 가정여자중학교)
가좌중학교,인천광역시 서구 건지로334번길 31(가좌동. 가좌중학교)
인천가좌여자중학교,인천광역시 서구 서달로 110(석남동. 가좌여자중학교)
검단중학교,인천광역시 서구 완정로188번길 12(마전동. 검단중학교)
검암중학교,인천광역시 서구 검암로29번길 12(검암동. 검암중학교)
계산중학교,인천광역시 계양구 도두리로 67-16(계산동. 계산중학교)
계산여자중학교,인천광역시 계양구 장제로755번길 16(계산동.계산여자중학교)
계양중학교,인천광역시 계양구 장제로1181번길 9. 계양중학교 (귤현동)
인천당하중학교,인천광역시 서구 청마로 38(당하동. 당하중학교)
동인천여자중학교,인천광역시 서구 여우재로112번길 13(가좌동. 동인천여자중학교)
명현중학교,인천광역시 계양구 안남로554번길 26. 명현중학교 (효성동)
인천이음중학교,인천광역시 서구 이음1로 455. (우)22861 (원당동. 인천이음중학교)
인천청라중학교,인천광역시 서구 청라라임로 112(청라동. 청라중학교)
북인천여자중학교,인천광역시 계양구 아나지로85번길 12(효성동)
북인천중학교,인천광역시 계양구 계산로22번길 6(계산동. 북인천중학교)
불로중학교,인천광역시 서구 고산후로 363(불로동. 불로중학교)
백석중학교,인천광역시 서구 서곶로 695(백석동. 백석중학교)
서곶중학교,인천광역시 서구 대평로56번길 22(연희동. 서곶중학교)
서운중학교,인천광역시 계양구 아나지로 467(서운동. 서운중학교)
신현중학교,인천광역시 서구 원창로131번길 23(신현동)
신현여자중학교,인천광역시 서구 새오개로111번길 15(신현동. 신현여자중학교)
인천안남중학교,인천광역시 계양구 계산새로33번길 5(계산동. 안남중학교)
인천초은중학교,인천광역시 서구 청라라임로 10(청라동. 초은중학교)
임학중학교,인천광역시 계양구 장제로 894임학중학교 (병방동)
제물포중학교,인천광역시 서구 여우재로112번길 7. 제물포중학교 (가좌동. 제물포중학교)
인천효성중학교,인천광역시 계양구 안남로 607(효성동. 인천효성중학교)
작전중학교,인천광역시 계양구 주부토로448번길 16.작전중학교(작전동)
간재울중학교,인천광역시 서구 승학로512번길 34(검암동. 간재울중학교)
마전중학교,인천광역시 서구 완정로 91(마전동. 마전중학교)
원당중학교,인천광역시 서구 고산로40번길 22(원당동. 원당중학교)
인천동양중학교,인천광역시 계양구 당미길 56(동양동. 인천동양중학교)
인천양촌중학교,인천광역시 계양구 장제로948번길 13(병방동)
인천가현중학교,인천광역시 서구 염곡로 409(신현동. 가현중학교)
인천석남중학교,인천광역시 서구 건지로 333(석남동. 석남중학교)
인천계수중학교,인천광역시 계양구 살라리로2번길 25(서운동.계수중학교)
인천해원중학교,인천광역시 서구 청라한내로 21(청라동. 인천해원중학교)
인천루원중학교,인천광역시 서구 염곡로 517(가정동. 인천루원중학교)
인천아라중학교,인천광역시 서구 서로2로 50(당하동. 인천아라중학교)
강남중학교,인천광역시 강화군 길상면 강화남로 62-2(길상면. 강남중학교)
강서중학교,인천광역시 강화군 하점면 강화서로 909-19(하점면. 강서중학교)
강화중학교,인천광역시 강화군 강화읍 동문로 53. 강화중학교 (강화읍)
강화여자중학교,인천광역시 강화군 강화읍 갑룡길 11(강화읍)
교동중학교,인천광역시 강화군 교동면 교동남로 77(교동면)
서도중학교,인천광역시 강화군 서도면 주문도길 173(서도면. 서도초.중.고등학교)
심도중학교,인천광역시 강화군 화도면 마니산로 703-20(화도면. 심도중학교)
동광중학교,인천광역시 강화군 양도면 강화남로 704(양도면. 동광중학교)
승영중학교,인천광역시 강화군 삼산면 삼산북로473번길 47. 삼산승영중학교 (삼산면. 삼산승영중학교)
