ㄱ,주소,Latitude,Longitude
상인천중학교,인천광역시 남동구 백범로297번길 21(간석동. 상인천중학교),37.4618485,126.717359
상인천여자중학교,인천광역시 남동구 문화로169번길 30(간석동. 상인천여자중학교),37.4554843,126.6990838
선학중학교,인천광역시 연수구 선학로 19. 선학동 344 (선학동. 선학중학교),37.4204819,126.6982451
연수중학교,인천광역시 연수구 원인재로 231(연수동. 연수중학교),37.4165878,126.6863506
연화중학교,인천광역시 연수구 용담로 156(연수동. 연화중학교),37.4121719,126.6806619
옥련중학교,인천광역시 연수구 청량로 222(옥련동. 옥련중학교),37.4265763,126.6537985
인송중학교,인천광역시 연수구 능허대로79번길 55(옥련동.인송중학교),37.4261294,126.6427284
인천여자중학교,인천광역시 연수구 원인재로 47. 인천여자중학교 (동춘동),37.4042715,126.6739482
인천중학교,인천광역시 연수구 함박뫼로 203(연수동.인천중학교),37.4214034,126.6890857
청량중학교,인천광역시 연수구 먼우금로 138.청량중학교(동춘동. 청량중학교),37.4102152,126.6729481
청학중학교,인천광역시 연수구 함박뫼로 5(청학동. 청학중학교),37.4184406,126.6704816
인천고잔중학교,인천광역시 남동구 논고개로 20. 인천고잔중학교 (논현동),37.3958589,126.7316956
함박중학교,인천광역시 연수구 솔샘로 143(청학동 109-1),37.4246513,126.661498
석정중학교,인천광역시 남동구 방축로469번길 1(간석동.석정중학교),37.4686806,126.6946944
능허대중학교,인천광역시 연수구 송도교육로 31(송도동. 능허대중학교),37.3732841,126.657637
신송중학교,인천광역시 연수구 해돋이로56번길 12(송도동. 신송중학교),37.3894266,126.6566211
박문중학교,인천광역시 연수구 송도과학로51번길 102(송도동),37.3854546,126.6723068
인천논현중학교,인천광역시 남동구 포구로 118(논현동.논현중학교),37.4084787,126.7329633
인천성리중학교,인천광역시 남동구 성리로 26(구월동. 성리중학교),37.444611,126.708702
인천동방중학교,인천광역시 남동구 논현역로 41(논현동. 동방중학교),37.404146,126.7193994
인천정각중학교,인천광역시 남동구 구월로 240(구월동. 정각중학교),37.4555715,126.7172759
인천서창중학교,인천광역시 남동구 독곡로60번길 16(서창동. 서창중학교),37.4338375,126.7499235
인천해송중학교,인천광역시 연수구 해송로 148(송도동. 인천해송중학교),37.3798851,126.6482014
숭덕여자중학교,인천광역시 남동구 만수로73번길 20-23(만수동. 숭덕여자중고등학교),37.4642746,126.7342382
인천현송중학교,인천광역시 연수구 아카데미로312번길 84(송도동. 인천현송중학교),37.3929616,126.6196938
구월여자중학교 부설 방송통신중학교,인천광역시 남동구 성말로 13번길 78,37.44867,126.7032269
인천예일중학교,인천광역시 계양구 장제로995번길 39(방축동. 인천예일중학교),37.55451,126.7406626
인천청람중학교,인천광역시 서구 청라커낼로 335(청라동. 인천청람중학교),37.5385062,126.6438252
가정여자중학교,인천광역시 서구 고래울로28번길 13(가좌동. 가정여자중학교),37.4856195,126.6848229
가좌중학교,인천광역시 서구 건지로334번길 31(가좌동. 가좌중학교),37.4954997,126.6796596
인천가좌여자중학교,인천광역시 서구 서달로 110(석남동. 가좌여자중학교),37.5081865,126.6793631
검단중학교,인천광역시 서구 완정로188번길 12(마전동. 검단중학교),37.6040262,126.6576067
검암중학교,인천광역시 서구 검암로29번길 12(검암동. 검암중학교),37.566988,126.6788706
계산중학교,인천광역시 계양구 도두리로 67-16(계산동. 계산중학교),37.5343145,126.7427567
