ㄱ,주소
인천신선초등학교,인천광역시 중구 축항대로291번길 33(신흥동3가. 신선초등학교)
인천신흥초등학교,인천광역시 중구 제물량로 134(답동. 인천신흥초등학교)
인천연안초등학교,인천광역시 중구 연안부두로33번길 53. 인천연안초등학교 (항동7가)
인천영종초등학교,인천광역시 중구 하늘달빛로 133. 인천영종초등학교 (중산동)
영흥초등학교,인천광역시 옹진군 영흥면 영흥로 440-8(영흥면. 영흥초등학교)
인천용유초등학교,인천광역시 중구 남북로87번길 4(남북동. 용유초등학교)
인천용일초등학교,인천광역시 미추홀구 인주대로 244(용현동. 용일초등학교)
인천용정초등학교,인천광역시 미추홀구 독정안길 26(숭의동. 용정초등학교)
인천용현초등학교,인천광역시 미추홀구 낙섬동로 83(용현동. 용현초등학교)
인천용현남초등학교,인천광역시 미추홀구 매소홀로 133(용현동. 인천용현남초등학교)
인천운서초등학교,인천광역시 중구 운서2로 57(운서동.인천운서초등학교)
영화초등학교,인천광역시 동구 우각로 39. 영화초등학교 (창영동. 영화관광경영고등학교. 영화초등학교)
인천주안남초등학교승봉분교장,인천광역시 옹진군 자월면 승봉로67번길 43-18(자월면. 인천주안남초등학교승봉분교)
인천인주초등학교,인천광역시 미추홀구 매소홀로475번길 53(학익동. 인천인주초등학교)
인천신광초등학교,인천광역시 중구 인중로 63(신흥동3가. 신광초등학교)
인천주안초등학교,인천광역시 미추홀구 남주길69번길 16(주안동. 주안초등학교)
인천주안남초등학교,인천광역시 미추홀구 인주대로434번길 11(주안동. 주안남초등학교)
인천주안북초등학교,인천광역시 미추홀구 석정로375번길 14(주안동. 인천 주안북초등학교)
인천창영초등학교,인천광역시 동구 우각로15번길 16(창영동.창영초등학교)
인천하늘초등학교,인천광역시 중구 은하수로 294(중산동. 영종하늘초등학교)
인천학익초등학교,인천광역시 미추홀구 한나루로403번길 122(학익동. 학익초등학교)
인천연학초등학교,인천광역시 미추홀구 주승로 20(학익동. 연학초등학교)
인천삼목초등학교,인천광역시 중구 신도시북로 42. 삼목초등학교(운서동. 인천삼목초등학교)
인천학산초등학교,인천광역시 미추홀구 한나루로357번길 66(학익동. 학산초등학교)
인천경원초등학교,인천광역시 미추홀구 경인로 511(주안동. 경원초등학교)
인천운남초등학교,인천광역시 중구 운남서로 38(운남동. 운남초등학교)
인천동명초등학교,인천광역시 동구 송림로70번길 10(송림동. 동명초등학교)
인성초등학교,인천광역시 중구 신포로39번길 42(송학동2가)
인천중산초등학교,인천광역시 중구 두미포로 100. 인천중산초등학교 (중산동)
인천동암초등학교병설유치원,인천광역시 부평구 동암남로35번길 4(십정동. 인천동암초등학교)
인천마곡초등학교병설유치원,인천광역시 부평구 마곡로27번길 16(산곡동. 인천마곡초등학교)
인천미산초등학교병설유치원,인천광역시 부평구 원적로 391(산곡동. 미산초등학교)
인천백운초등학교병설유치원,인천광역시 부평구 아트센터로 130(십정동)
인천부개초등학교병설유치원,인천광역시 부평구 마분로 9. 인천부개초등학교 (부개동. 인천부개초등학교)
인천부개서초등학교병설유치원,인천광역시 부평구 부일로 39(부개동. 인천 부개서초등학교)
인천부광초등학교병설유치원,인천광역시 부평구 충선로 104(부개동. 인천부광초등학교)
인천부마초등학교병설유치원,인천광역시 부평구 안남로253번길 41(산곡동. 인천부마초등학교)
인천부평남초등학교병설유치원,인천광역시 부평구 경인로911번길 28(부평동. 인천부평남초등학교)
인천부평동초등학교병설유치원,인천광역시 부평구 부평대로88번길 19.부평동초등학교 병설 유치원(부평동)
인천부평북초등학교병설유치원,인천광역시 부평구 주부토로 292(갈산동. 인천부평북초등학교)
인천부평서초등학교병설유치원,인천광역시 부평구 부평문화로53번길 19부평서초등학교(부평동.북부교육지원청)
인천부일초등학교병설유치원,인천광역시 부평구 부흥북로 175. 인천부일초등학교 (부개동)
인천용마초등학교병설유치원,인천광역시 부평구 세월천로30번길 58(청천동. 인천용마초등학교병설유치원)
인천십정초등학교병설유치원,인천광역시 부평구 배곶북로 10-6. 인천십정초등학교 (십정동)
인천산곡초등학교병설유치원,인천광역시 부평구 길주로354번길 39(산곡동. 인천산곡초등학교)
인천갈월초등학교병설유치원,인천광역시 부평구 주부토로 165(갈산동. 인천갈월초등학교)
인천한길초등학교병설유치원,인천광역시 부평구 영성중로32(삼산동. 인천한길초등학교)
인천후정초등학교병설유치원,인천광역시 부평구 영성서로 56(삼산동. 인천후정초등학교)
인천굴포초등학교병설유치원,인천광역시 부평구 충선로234번길 19(삼산동. 굴포초등학교)
인천진산초등학교병설유치원,인천광역시 부평구 굴포로 194-10(삼산동. 인천진산초등학교)
인천영선초등학교병설유치원,인천광역시 부평구 충선로 293(삼산동. 인천영선초등학교)
인천금마초등학교병설유치원,인천광역시 부평구 일신로 88(구산동. 금마초등학교)
인천상정초등학교병설유치원,인천광역시 부평구 상정로 50병설유치원 (십정동. 인천상정초등학교)
인천부원초등학교병설유치원,인천광역시 부평구 원적로472번길 29(부평동. 인천부원초등학교)
인천개흥초등학교,인천광역시 부평구 길주남로65번길 11(부평동. 인천개흥초등학교)
인천대정초등학교,인천광역시 부평구 안남로 115(산곡동. 인천대정초등학교)
인천상정초등학교,인천광역시 부평구 상정로 50(십정동. 인천상정초등학교)
인천갈산초등학교,인천광역시 부평구 갈월동로 55(갈산동.갈산초등학교)
인천갈월초등학교,인천광역시 부평구 주부토로 165(갈산동. 인천갈월초등학교)
인천구산초등학교,인천광역시 부평구 부개로 93(부개동. 인천구산초등학교)
인천동수초등학교,인천광역시 부평구 동수로120번길 10(부개동)
인천동암초등학교,인천광역시 부평구 동암남로35번길 4. 동암초등학교 (십정동.동암초등학교)
인천마곡초등학교,인천광역시 부평구 마곡로27번길 16(산곡동.인천마곡초등학교)
인천마장초등학교,인천광역시 부평구 안남로 266(청천동. 인천마장초등학교)
인천미산초등학교,인천광역시 부평구 원적로 391(산곡동. 미산초등학교)
인천백운초등학교,인천광역시 부평구 아트센터로 130(십정동)
인천부개초등학교,인천광역시 부평구 마분로 9.인천부개초등학교(부개동. 인천부개초등학교)
인천부개서초등학교,인천광역시 부평구 부일로 39(부개동. 인천 부개서초등학교)
인천부곡초등학교,인천광역시 부평구 마장로272번길 73(산곡동)
인천부광초등학교,인천광역시 부평구 충선로 104(부개동)
인천부내초등학교,인천광역시 부평구 수변로 129(부개동)
인천부마초등학교,인천광역시 부평구 안남로253번길 41(산곡동. 인천부마초등학교)
인천부원초등학교,인천광역시 부평구 원적로472번길 29(부평동. 인천부원초등학교)
인천부평남초등학교,인천광역시 부평구 경인로911번길 28(부평동. 인천부평남초등학교)
인천부평동초등학교,인천광역시 부평구 부평대로88번길 19(부평동. 인천부평동초등학교)
인천부평북초등학교,인천광역시 부평구 주부토로 292(갈산동. 인천부평북초등학교)
인천부평서초등학교,인천광역시 부평구 부평문화로53번길 19. 부평서초등학교 (부평동. 북부교육청)
인천부흥초등학교,인천광역시 부평구 부흥로366번길 34(부평동. 인천부흥초등학교)
인천부일초등학교,인천광역시 부평구 부흥북로 175(부개동. 인천부일초등학교)
인천산곡초등학교,인천광역시 부평구 길주로354번길 39(산곡동. 인천산곡초등학교)
인천산곡남초등학교,인천광역시 부평구 부흥로144번길 30(산곡동. 산곡남초등학교)
인천산곡북초등학교,인천광역시 부평구 산청로 18(산곡동. 인천산곡북초등학교)
인천삼산초등학교,인천광역시 부평구 후정동로 44(삼산동)
인천용마초등학교,인천광역시 부평구 세월천로30번길 58(청천동. 인천용마초등학교)
인천신촌초등학교,인천광역시 부평구 경원대로 1215(십정동. 인천신촌초등학교)
인천십정초등학교,인천광역시 부평구 배곶북로 10-6. 인천십정초등학교 (십정동)
인천일신초등학교,인천광역시 부평구 항동로75번길 36(일신동. 인천일신초등학교)
인천청천초등학교,인천광역시 부평구 산청로127번길 12-5(청천동. 인천청천초등학교)
인천하정초등학교,인천광역시 부평구 이규보로 14(십정동. 인천하정초등학교)
인천한길초등학교,인천광역시 부평구 영성중로 32(삼산동)
인천후정초등학교,인천광역시 부평구 영성서로 56(삼산동)
인천굴포초등학교,인천광역시 부평구 충선로234번길 19. 인천굴포초등학교 (삼산동)
인천진산초등학교,인천광역시 부평구 굴포로 194-10(삼산동. 인천진산초등학교)
인천영선초등학교,인천광역시 부평구 충선로 293(삼산동.영선초등학교)
인천금마초등학교,인천광역시 부평구 일신로 88(구산동. 금마초등학교)
한일초등학교,인천광역시 부평구 원적로 247(산곡동)
인천새봄초등학교병설유치원,인천광역시 연수구 앵고개로104번길 34. 34 (동춘동. 인천새봄초등학교)
인천첨단초등학교병설유치원,인천광역시 연수구 송도교육로 20(송도동. 인천첨단초등학교)
인천예송초등학교병설유치원,인천광역시 연수구 컨벤시아대로252번길 75. 인천예송초병설유치원 (송도동. 인천예송초등학교)
인천명선초등학교병설유치원,인천광역시 연수구 컨벤시아대로42번길 64(송도동. 인천명선초등학교)
인천간석초등학교병설유치원,인천광역시 남동구 석산로208번길 37(구월동. 간석초등학교)
인천남촌초등학교병설유치원,인천광역시 남동구 남촌로 101(남촌동)
인천현송초등학교병설유치원,인천광역시 연수구 아카데미로(송도동)
인천구월서초등학교병설유치원,인천광역시 남동구 문화서로77번길 14(구월동)
인천만수초등학교병설유치원,인천광역시 남동구 소래로 652(만수동. 만수초병설유치원)
인천사리울초등학교병설유치원,인천광역시 남동구 아암대로1437번길 50(논현동)
인천신정초등학교병설유치원,인천광역시 연수구 아트센터대로97번길 72(송도동)
인천원동초등학교병설유치원,인천광역시 남동구 논고개로 38(논현동)
인천만월초등학교병설유치원,인천광역시 남동구 선수촌로 28(구월동. 인천만월초등학교)
인천송일초등학교병설유치원,인천광역시 연수구 컨벤시아대로252번길 15(송도동)
인천장서초등학교병설유치원,인천광역시 남동구 서창남순환로 109(서창동. 인천장서초등학교)
인천논곡초등학교병설유치원,인천광역시 남동구 함박뫼로 429논곡초등학교병설유치원(논현동)
인천동부초등학교병설유치원,인천광역시 남동구 만수서로33번길 25(만수동. 동부초등학교)
인천소래초등학교병설유치원,인천광역시 남동구 장도로 2(논현동. 소래초등학교)
인천동춘초등학교병설유치원,인천광역시 연수구 앵고개로 224(동춘동. 동춘초등학교)
인천주원초등학교병설유치원,인천광역시 남동구 주안로259번길 28(간석동)
인천성리초등학교병설유치원,인천광역시 남동구 성리로 32-2(구월동. 성리초등학교 병설유치원)
인천장아초등학교병설유치원,인천광역시 남동구 서창방산로 93(서창동)
인천인동초등학교병설유치원,인천광역시 남동구 백범로248번길 38(만수동. 인동초등학교)
인천장수초등학교병설유치원,인천광역시 남동구 담방로 121(만수동. 장수초등학교)
인천축현초등학교병설유치원,인천광역시 연수구 청량로 176(옥련동. 축현초등학교)
인천신월초등학교병설유치원,인천광역시 남동구 인주대로776번길 14. 인천신월초등학교 (구월동. 신월초등학교)
인천도림초등학교병설유치원,인천광역시 남동구 논고개로334번길 21. 인천도림초등학교 (도림동)
인천서창초등학교병설유치원,인천광역시 남동구 장아산로174번길 8(서창동)
인천먼우금초등학교병설유치원,인천광역시 연수구 해돋이로84번길 33. 인천먼우금초등학교 (송도동. 인천먼우금초등학교)
인천신송초등학교병설유치원,인천광역시 연수구 해돋이로56번길 28(송도동. 신송초등학교)
인천장도초등학교병설유치원,인천광역시 남동구 포구로 112(논현동. 인천장도초등학교)
인천동방초등학교병설유치원,인천광역시 남동구 논현역로 31(논현동. 동방초등학교)
인천청학초등학교병설유치원,인천광역시 연수구 함박뫼로 25(청학동. 청학초병설유치원)
인천은송초등학교병설유치원,인천광역시 연수구 센트럴로 460(송도동. 인천은송초등학교)
인천송담초등학교병설유치원,인천광역시 연수구(송도동 320)
인천정각초등학교병설유치원,인천광역시 남동구 구월로 228(구월동)
인천해송초등학교병설유치원,인천광역시 연수구 인천타워대로54번길 46.인천해송초등학교(송도동)
인천상아초등학교병설유치원,인천광역시 남동구 석산로184번길 66(간석동. 인천상아초등학교)
인천고잔초등학교병설유치원,인천광역시 남동구 아암대로1503번길 48(논현동)
인천한빛초등학교병설유치원,인천광역시 남동구 서창남순환로 190-28(서창동)
인천송원초등학교병설유치원,인천광역시 연수구 송도과학로51번길 60(송도동)
인천송명초등학교병설유치원,인천광역시 연수구 송도교육로 19(송도동)
인천미송초등학교병설유치원,인천광역시 연수구 아카데미로 667(송도동. 인천미송초등학교)
인천새봄초등학교,인천광역시 연수구 앵고개로104번길 34(동춘동. 인천새봄초등학교)
인천첨단초등학교,인천광역시 연수구 송도교육로 20. 인천첨단초등학교 (송도동)
인천예송초등학교,인천광역시 연수구 컨벤시아대로252번길 75(송도동. 인천예송초등학교)
인천간석초등학교,인천광역시 남동구 석산로208번길 37(구월동. 간석초등학교)
인천장서초등학교,인천광역시 남동구 서창남순환로 109(서창동)
인천송일초등학교,인천광역시 연수구 컨벤시아대로252번길 15. 인천송일초등학교 (송도동)
인천연송초등학교,인천광역시 연수구 해돋이로 248(송도동.인천연송초등학교)
인천구월초등학교,인천광역시 남동구 인주대로 721번길 49(구월동.구월초등학교)
인천구월서초등학교,인천광역시 남동구 문화서로77번길 14(구월동. 구월서초등학교)
인천남동초등학교,인천광역시 남동구 장승남로33번길 10(만수동.남동초등학교)
인천남촌초등학교,인천광역시 남동구 남촌로 101(남촌동. 남촌초등학교)
인천논곡초등학교,인천광역시 남동구 함박뫼로 429인천논곡초등학교(논현동)
인천현송초등학교,인천광역시 연수구 아카데미로312번길 96(송도동. 인천현송초등학교)
인천능허대초등학교,인천광역시 연수구 한진로 12(옥련동. 인천능허대초등학교)
인천담방초등학교,인천광역시 남동구 매소홀로 1027(만수동. 담방초등학교)
인천도림초등학교,인천광역시 남동구 논고개로334번길 21(도림동. 도림초등학교)
인천동막초등학교,인천광역시 연수구 원인재로 36(동춘동.동막초등학교)
인천명선초등학교,인천광역시 연수구 컨벤시아대로42번길 64(송도동. 인천명선초등학교)
인천송원초등학교,인천광역시 연수구 송도과학로51번길 60. 인천송원초등학교 (송도동)
인천한빛초등학교,인천광역시 남동구 서창남순환로 190-28(서창동)
인천동부초등학교,인천광역시 남동구 만수서로33번길 25(만수동. 동부초등학교)
인천동춘초등학교,인천광역시 연수구 앵고개로 224(동춘동. 동춘초등학교)
인천만수초등학교,인천광역시 남동구 소래로 652(만수동. 만수초등학교)
인천만수북초등학교,인천광역시 남동구 백범로180번길 25(만수동. 만수북초등학교)
인천사리울초등학교,인천광역시 남동구 아암대로1437번길 50(논현동. 사리울초등학교)
인천송천초등학교,인천광역시 남동구 앵고개로815번길 45(논현동)
인천신정초등학교,인천광역시 연수구 아트센터대로97번길 72(송도동.신정초등학교)
인천원동초등학교,인천광역시 남동구 논고개로 38(논현동. 원동초등학교)
인천만월초등학교,인천광역시 남동구 선수촌로 28(구월동)
인천문남초등학교,인천광역시 연수구 먼우금로 273. 인천문남초등학교 (연수동)
상인천초등학교,인천광역시 남동구 석산로141번길 29(간석동. 상인천초등학교)
인천서면초등학교,인천광역시 연수구 먼우금로 54(동춘동. 인천서면초등학교)
인천석정초등학교,인천광역시 남동구 석정로539번길 32(간석동. 석정초등학교)
인천석천초등학교,인천광역시 남동구 남동대로 828. 인천석천초등학교 (구월동)
인천선학초등학교,인천광역시 연수구 선학로 67(선학동)
인천성리초등학교,인천광역시 남동구 성리로 32-2(구월동. 성리초등학교)
인천소래초등학교,인천광역시 남동구 장도로 2(논현동. 소래초등학교)
인천송도초등학교,인천광역시 연수구 비류대로214번길 21(옥련동.송도초등학교)
인천약산초등학교,인천광역시 남동구 간석로26번길 10(간석동. 약산초등학교)
인천연성초등학교,인천광역시 연수구 원인재로 116. 인천연성초등학교 (동춘동)
인천연수초등학교,인천광역시 연수구 원인재로 324(연수동. 연수초등학교)
인천연화초등학교,인천광역시 연수구 원인재로 150(연수동)
인천옥련초등학교,인천광역시 연수구 한진로 30(옥련동. 옥련초등학교)
