ㄱ,주소
인천은지초등학교병설유치원,인천광역시 서구 승학로572번길 22(검암동. 은지초등학교)
인천귤현초등학교병설유치원,인천광역시 계양구 귤현길 15(귤현동. 인천귤현초등학교병설유치원)
인천해서초등학교병설유치원,인천광역시 계양구 계산로 42-1. 해서초등학교병설유치원(계산동. 해서초등학교)
인천가림초등학교병설유치원,인천광역시 서구 장고개로293번길 29(가좌동. 인천가림초등학교병설유치원)
인천왕길초등학교병설유치원,인천광역시 서구 봉수대로1440번길 20.인천왕길초등학교병설유치원(왕길동)
인천원당초등학교병설유치원,인천광역시 서구 원당대로820번길 16(당하동. 원당초등학교)
인천청람초등학교병설유치원,인천광역시 서구 청라커낼로 336(청라동. 인천청람초등학교)
인천청일초등학교병설유치원,인천광역시 서구 크리스탈로 46(청라동. 인천청일초등학교)
인천가정초등학교병설유치원,인천광역시 서구 장고개로 336-1(가좌동. 가정초등학교)
인천길주초등학교병설유치원,인천광역시 계양구 용종로 90(용종동)
인천봉수초등학교병설유치원,인천광역시 서구 봉오대로267번길 11-4(가정동. 봉수초등학교병설유치원)
인천신현북초등학교병설유치원,인천광역시 서구 원창로 147(신현동. 신현북초등학교병설유치원)
인천안남초등학교병설유치원,인천광역시 계양구 경명대로1114번길 26(계산동. 안남초등학교)
인천한별초등학교병설유치원,인천광역시 서구 서로3로 201(원당동. 인천한별초등학교)
인천경서초등학교병설유치원,인천광역시 서구 경서로31번길 31(경서동. 경서초등학교)
인천양촌초등학교병설유치원,인천광역시 계양구 장제로 954(병방동. 인천양촌초등학교병설유치원)
인천능내초등학교병설유치원,인천광역시 서구 검단로540번길 23(마전동. 능내초등학교)
인천당산초등학교병설유치원,인천광역시 계양구 동양로 122(동양동. 인천당산초등학교병설유치원)
인천완정초등학교병설유치원,인천광역시 서구 완정로 99(마전동. 완정초등학교)
인천이음초등학교병설유치원,인천광역시 서구 이음1로 447(원당동. 인천이음초등학교)
인천건지초등학교병설유치원,인천광역시 서구 건지로318번길 39(가좌동. 건지초등학교)
인천아람초등학교병설유치원,인천광역시 서구 원당동. 431 (원당동. 인천아람초등학교병설유치원)
인천공촌초등학교병설유치원,인천광역시 서구 심곡로188번길 21(공촌동. 공촌초등학교)
인천효성동초등학교,인천광역시 계양구 새벌로171번길 4(효성동. 인천효성동초등학교)
인천단봉초등학교,인천광역시 서구 단봉로 122(오류동)
인천부현동초등학교,인천광역시 계양구 용종로 5(계산동. 부현동초등학교)
인천한별초등학교,인천광역시 서구 서로3로 201. 인천한별초등학교 (아라동)
경인교육대학교부설초등학교,인천광역시 계양구 안남로 612(효성동) 경인교육대학교부설초등학교
인천도담초등학교,인천광역시 서구 청라커낼로 217(청라동. 도담초등학교)
인천가원초등학교,인천광역시 서구 청중로478번길 6. 인천가원초등학교 (가정동)
인천해든초등학교,인천광역시 서구 서로3로 60(당하동. 인천해든초등학교)
인천가석초등학교,인천광역시 서구 서달로 174(가정동)
인천가현초등학교,인천광역시 서구 염곡로 417(신현동. 가현초등학교)
인천가정초등학교,인천광역시 서구 장고개로 336-1(가좌동.가정초등학교)
인천가좌초등학교,인천광역시 서구 장고개로309번길 5(가좌동. 가좌초등학교)
인천경명초등학교,인천광역시 서구 크리스탈로 130. 139-2(청라동. 인천경명초등학교)
인천건지초등학교,인천광역시 서구 건지로318번길 39(가좌동. 건지초등학교)
인천검단초등학교,인천광역시 서구 마전로115번길 24(마전동. 검단초등학교)
인천공촌초등학교,인천광역시 서구 심곡로188번길 21(공촌동)
인천계산초등학교,인천광역시 계양구 경명대로 1005(계산동. 계산초등학교)
인천계양초등학교,인천광역시 계양구 장제로 1288(장기동. 인천계양초등학교)
인천길주초등학교,인천광역시 계양구 용종로 90(용종동. 인천길주초등학교)
인천금곡초등학교,인천광역시 서구 완정로228번길 19(금곡동. 금곡초등학교)
인천당하초등학교,인천광역시 서구 청마로 144(당하동. 당하초등학교)
인천계양초등학교상야분교장,인천광역시 계양구 벌말로 572-1(상야동. 인천계양초등학교상야분교장)
인천마전초등학교,인천광역시 서구 완정로34번길 23(마전동. 마전초등학교)
인천명현초등학교,인천광역시 계양구 봉오대로569번길 10(효성동. 명현초등학교)
인천목향초등학교,인천광역시 서구 고산후로 377(불로동. 목향초등학교)
인천백석초등학교,인천광역시 서구 청마로 55(당하동)
인천병방초등학교,인천광역시 계양구 병방로 2(병방동. 인천병방초등학교)
인천봉수초등학교,인천광역시 서구 봉오대로267번길 11-4(가정동. 봉수초등학교)
인천안산초등학교,인천광역시 계양구 임학서로 15(계산동)
인천부평초등학교,인천광역시 계양구 어사대로 20(계산동. 인천부평초등학교)
인천청라초등학교,인천광역시 서구 청라에메랄드로 139. 인천청라초등학교 (청라동. 인천청라초등학교)
인천초은초등학교,인천광역시 서구 청라에메랄드로 33(청라동. 인천초은초등학교)
인천불로초등학교,인천광역시 서구 검단로744번1길 50.불로초등학교 (불로동. 불로초등학교)
인천부현초등학교,인천광역시 계양구 장제로755번길 30.(계산동)
인천이음초등학교,인천광역시 서구 이음1로 447(원당동. 인천이음초등학교)
인천서곶초등학교,인천광역시 서구 대평로56번길 9(연희동. 서곶초등학교)
인천서운초등학교,인천광역시 계양구 서운로 12인천서운초등학교(서운동)
인천석남초등학교,인천광역시 서구 서달로130번길 4(석남동. 석남초등학교)
인천석남서초등학교,인천광역시 서구 건지로249번길 6(석남동. 석남서초등학교)
인천성지초등학교,인천광역시 계양구 아나지로247번길 8(작전동.성지초등학교)
인천소양초등학교,인천광역시 계양구 박촌로 53(박촌동. 인천소양초등학교)
인천신대초등학교,인천광역시 계양구 계산새로 133(용종동. 신대초등학교)
인천신석초등학교,인천광역시 서구 새오개로 9(석남동. 신석초등학교)
인천신현초등학교,인천광역시 서구 율도로77번길 1(신현동. 신현초등학교)
인천신현북초등학교,인천광역시 서구 원창로 147. 신현북초등학교 (신현동)
인천심곡초등학교,인천광역시 서구 심곡로 114(심곡동. 심곡초등학교)
인천안남초등학교,인천광역시 계양구 경명대로1114번길 26(계산동. 안남초등학교)
인천양지초등학교,인천광역시 서구 승학로197번길 11(심곡동. 양지초등학교)
인천작동초등학교,인천광역시 계양구 까치말로 35(작전동. 인천작동초등학교)
인천작전초등학교,인천광역시 계양구 주부토로 456(작전동. 인천작전초등학교)
인천창신초등학교,인천광역시 서구 고산후로161번길 6. 인천창신초등학교 (원당동)
인천천마초등학교,인천광역시 서구 서달로 58-5(석남동. 천마초등학교)
인천화전초등학교,인천광역시 계양구 효서로303번길 8(작전동. 인천화전초등학교)
인천효성초등학교,인천광역시 계양구 안남로 601(효성동. 효성초등학교)
인천효성남초등학교,인천광역시 계양구 새벌로 125(효성동.효성남초등학교)
인천해원초등학교,인천광역시 서구 청라사파이어로140번길 5(청라동. 인천해원초등학교)
인천효성서초등학교,인천광역시 계양구 봉오대로 457(효성동. 효성서초등학교)
인천간재울초등학교,인천광역시 서구 승학로 433(검암동. 간재울초등학교)
인천검암초등학교,인천광역시 서구 승학로 599번길 45(검암동. 검암초등학교)
인천발산초등학교,인천광역시 서구 고산후로78번길 6. 인천발산초등학교 (당하동)
인천봉화초등학교,인천광역시 서구 건지로250번길 43(가좌동. 봉화초등학교)
인천은지초등학교,인천광역시 서구 승학로572번길 22. 인천은지초등학교 (검암동)
인천귤현초등학교,인천광역시 계양구 귤현길 15(귤현동. 귤현초등학교)
인천해서초등학교,인천광역시 계양구 계산로 42-1(계산동. 해서초등학교)
인천가림초등학교,인천광역시 서구 장고개로293번길 29(가좌동. 인천가림초등학교)
인천왕길초등학교,인천광역시 서구 봉수대로1440번길 20(왕길동.왕길초등학교)
인천경서초등학교,인천광역시 서구 경서로31번길 31(경서동. 경서초등학교)
인천원당초등학교,인천광역시 서구 원당대로820번길 16(당하동.원당초등학교)
인천능내초등학교,인천광역시 서구 검단로540번길 23(마전동. 능내초등학교)
인천당산초등학교,인천광역시 계양구 동양로 122(동양동)
인천양촌초등학교,인천광역시 계양구 장제로 954(병방동. 양촌초등학교)
인천완정초등학교,인천광역시 서구 완정로 99(마전동. 완정초등학교)
인천청일초등학교,인천광역시 서구 크리스탈로 46(청라동. 인천청일초등학교)
인천청람초등학교,인천광역시 서구 청라커낼로 336(청라동. 인천청람초등학교)
인천아람초등학교,인천광역시 서구 이음1로 289. 인천아람초등학교 (원당동 1094-2)
갑룡초등학교병설유치원,인천광역시 강화군 강화읍 갑룡길 88. 갑룡초등학교병설유치원 (강화읍. 갑룡초등학교)
강화초등학교병설유치원,인천광역시 강화군 강화읍 북문길 36. 강화초등학교병설유치원 (강화읍. 강화초등학교)
교동초등학교병설유치원,인천광역시 강화군 교동면 대룡안길 29(교동면. 교동초등학교)
내가초등학교병설유치원,인천광역시 강화군 내가면 강화서로 264(내가면. 내가초등학교)
대월초등학교병설유치원,인천광역시 강화군 강화읍 대월로 216(강화읍. 대월초등학교)
명신초등학교병설유치원,인천광역시 강화군 하점면 강화서로560번길 22(하점면. 명신초등학교)
송해초등학교병설유치원,인천광역시 강화군 송해면 전망대로 93-12(송해면. 송해초등학교)
삼산초등학교병설유치원,인천광역시 강화군 삼산면 삼산북로 451(삼산면. 삼산초등학교)
선원초등학교병설유치원,인천광역시 강화군 선원면 강화동로 924(선원면. 선원초등학교)
양사초등학교병설유치원,인천광역시 강화군 양사면 덕하로 145(양사면. 양사초등학교)
교동초등학교지석분교장병설유치원,인천광역시 강화군 교동면 교동북로 275-1(교동면)
하점초등학교병설유치원,인천광역시 강화군 하점면 강화대로 1190(하점면. 하점초등학교)
합일초등학교병설유치원,인천광역시 강화군 강화읍 합일길 3(강화읍. 합일초등학교)
해명초등학교병설유치원,인천광역시 강화군 삼산면 삼산남로 345(삼산면. 해명초등학교)
서도초등학교병설유치원,인천광역시 강화군 서도면 주문도길 173(서도면)
갑룡초등학교,인천광역시 강화군 강화읍 갑룡길 88(강화읍. 갑룡초등학교)
강화초등학교,인천광역시 강화군 강화읍 북문길 36(강화읍.강화초등학교)
교동초등학교,인천광역시 강화군 교동면 대룡안길 29. 교동초등학교 (교동면. 교동초등학교)
길상초등학교,인천광역시 강화군 길상면 삼랑성길 22. 길상초등학교 (길상면. 길상초등학교)
내가초등학교,인천광역시 강화군 내가면 강화서로 264(내가면)
대월초등학교,인천광역시 강화군 강화읍 대월로 216(강화읍. 대월초등학교)
명신초등학교,인천광역시 강화군 하점면 강화서로560번길 22. 명신초등학교 (하점면)
불은초등학교,인천광역시 강화군 불은면 불은남로544번길 9(불은면. 불은초등학교)
삼산초등학교,인천광역시 강화군 삼산면 삼산북로 451. 삼산초등학교 (삼산면)
삼성초등학교,인천광역시 강화군 불은면 중앙로 609(불은면. 삼성초등학교)
서도초등학교,인천광역시 강화군 서도면 주문도길 173(서도면. 서도초.중.고등학교)
선원초등학교,인천광역시 강화군 선원면 강화동로 924(선원면.선원초등학교)
송해초등학교,인천광역시 강화군 송해면 전망대로 93-12(송해면. 송해초등학교)
양도초등학교,인천광역시 강화군 양도면 강화남로 1036(양도면. 양도초등학교)
양사초등학교,인천광역시 강화군 양사면 덕하로 145(양사면. 양사초등학교)
조산초등학교,인천광역시 강화군 양도면 강화남로 510(양도면. 조산초등학교)
교동초등학교지석분교장,인천광역시 강화군 교동면 교동북로 275-1(교동면)
하점초등학교,인천광역시 강화군 하점면 강화대로 1190(하점면.하점초등학교)
합일초등학교,인천광역시 강화군 강화읍 합일길 3(강화읍.합일초등학교)
해명초등학교,인천광역시 강화군 삼산면 삼산남로 345. 해명초등학교 (삼산면. 해명초등학교)
화도초등학교,인천광역시 강화군 화도면 마니산로 717(화도면)
