ㄱ,주소,Latitude,Longitude
숭덕여자고등학교,인천광역시 남동구 만수로73번길 20-23(만수동. 숭덕여자고등학교),37.4642746,126.7342382
신명여자고등학교,인천광역시 남동구 용천로205번길 42. 신명여자고등학교 (간석동),37.4689865,126.7129426
인성여자고등학교,인천광역시 중구 홍예문로 39(송학동2가),37.4739535,126.6246265
인하대학교사범대학부속고등학교,인천광역시 미추홀구 재넘이길123번길 29. 인하대학교사범대학부속중고등학교 (학익동. 인하사범대부속중고등학교),37.446861,126.6623472
제일고등학교,인천광역시 부평구 경인로759번길 28(십정동),37.4783233,126.7088255
인항고등학교,인천광역시 미추홀구 매소홀로 135(용현동. 인항고등학교),37.4468471,126.6406814
안남고등학교,인천광역시 계양구 아나지로308번길 9(작전동),37.524903,126.7268375
작전고등학교,인천광역시 계양구 봉오대로729번길 27(작전동),37.5327355,126.7300817
작전여자고등학교,인천광역시 계양구 주부토로426번길 15작전여자고등학교(작전동 92),37.5320906,126.7299597
옥련여자고등학교,인천광역시 연수구 옥골로 77(옥련동. 옥련여자고등학교),37.4319285,126.6486728
가좌고등학교,인천광역시 서구 장고개로287번길 24(가좌동),37.4893419,126.6808456
부개고등학교,인천광역시 부평구 수변로57번길 36(부개동.부개고등학교),37.4924331,126.7381975
도림고등학교,인천광역시 남동구 서창남로 8(서창동),37.420695,126.7530225
인천부흥고등학교,인천광역시 부평구 수변로57번길 61(부개동),37.4911946,126.7369018
신송고등학교,인천광역시 연수구 신송로6번길 56(송도동) 신송고등학교,37.3917488,126.6595884
인천만수고등학교,인천광역시 남동구 장승로 91(만수동. 만수고등학교),37.4470307,126.742453
인천신현고등학교,인천광역시 서구 염곡로 399(신현동),37.5190124,126.6671205
인천남동고등학교,인천광역시 남동구 은봉로 283. 인천남동고등학교 (논현동),37.4058837,126.7215693
인천체육고등학교,인천광역시 서구 로봇랜드로 473(청라동. 인천체육고등학교),37.5449027,126.610336
인천과학고등학교,인천광역시 중구 영종대로277번길 74-37(운서동),37.4920949,126.5080977
인천진산과학고등학교,인천광역시 부평구 굴포로 194-9(삼산동),37.5130348,126.7434023
인천예술고등학교,인천광역시 남동구 구월로115번길 36(간석동),37.4587217,126.7037061
미추홀외국어고등학교,인천광역시 남동구 에코중앙로 130(논현동),37.3893106,126.7245173
인천외국어고등학교,인천광역시 부평구 원적로 262. 인천외국어고등학교 (산곡동),37.5029542,126.6952489
인천국제고등학교,인천광역시 중구 영종대로277번길 74-40(운서동),37.4903015,126.5092381
인평자동차고등학교,인천광역시 부평구 화랑로 111. 인평자동차정보고등학교 (산곡동),37.4922229,126.7022676
계산공업고등학교,인천광역시 계양구 도두리로 47(계산동),37.5344539,126.7394242
인천미래생활고등학교,인천광역시 부평구 수변로 165(부개동),37.5009147,126.7427208
강남영상미디어고등학교,인천광역시 강화군 길상면 강화남로 57(길상면),37.6422462,126.4797016
부평공업고등학교,인천광역시 부평구 주부토로 194(갈산동. 부평공업고등학교),37.5125923,126.7268433
인천대중예술고등학교,인천광역시 미추홀구 석정로 165. 인천대중예술고등학교 (도화동),37.4747179,126.6522004
인천소방고등학교,인천광역시 미추홀구 석정로 165(도화동),37.470912,126.6549266
인천기계공업고등학교,인천광역시 미추홀구 한나루로 545(주안동. 인천기계공업고등학교),37.4568104,126.6682801
인천디자인고등학교,인천광역시 서구 대평로56번길 10. 인천디자인고등학교 (연희동),37.5483553,126.6713584
인천전자마이스터고등학교,인천광역시 미추홀구 석정로 165(도화동),37.470912,126.6549266
인천정보과학고등학교,인천광역시 중구 참외전로 192(율목동),37.4704065,126.6337327
인천바이오과학고등학교,인천광역시 연수구 용담로 12(청학동),37.4206746,126.66862
인천재능고등학교,인천광역시 동구 재능로 178. 인천재능고등학교 (송림동),37.4758142,126.6517546
정석항공과학고등학교,인천광역시 미추홀구 인하로 100정석항공과학고등학교(용현동. 인하대.인하공전.정석항공고),37.4496913,126.6581419
한국주얼리고등학교,인천광역시 서구 서곶로 693-1. 한국주얼리고등학교 (백석동),37.581674,126.6730495
인천비즈니스고등학교,인천광역시 미추홀구 장고개로 31(도화동. 인천비즈니스고등학교),37.4721783,126.6667558
문학정보고등학교,인천광역시 미추홀구 소성로350번길 29(문학동. 문학정보고등학교),37.4353632,126.686467
영종국제물류고등학교,인천광역시 중구 운남서로10번길 1(운남동),37.4899503,126.5311995
인천여자상업고등학교,인천광역시 중구 인중로 146(신생동),37.4670877,126.6280278
인천보건고등학교,인천광역시 서구 서달로 58-16. 인천보건고등학교 (석남동),37.5046748,126.6821965
인천금융고등학교,인천광역시 남동구 함박뫼로 438-9인천금융고등학교(논현동),37.4085339,126.7110141
인천세무고등학교,인천광역시 서구 청마로 52. 인천세무고등학교 (당하동),37.5880901,126.6699356
영화국제관광고등학교,인천광역시 동구 우각로 39(창영동),37.4712343,126.6402342
인천중앙여자상업고등학교,인천광역시 중구 샛골로 31(도원동),37.4653885,126.6415373
인천해양과학고등학교,인천광역시 연수구 능허대로 71(옥련동. 인천해양과학고등학교),37.4259034,126.6408134
인천해사고등학교,인천광역시 중구 월미로 338(북성동1가),37.4681404,126.6017932
한국글로벌셰프고등학교,인천광역시 강화군 내가면 강화서로 184(내가면. 삼량중고등학교),37.712221,126.391484
인천생활과학고등학교,인천광역시 연수구 함박뫼로 103. 인천생활과학고 (연수동),37.4235371,126.6781141
인천뷰티예술고등학교,인천광역시 연수구 원인재로 21. 인천뷰티예술고등학교 (동춘동),37.4035215,126.671754
인천청담고등학교,인천광역시 연수구 앵고개로 132(동춘동),37.4125013,126.6603164
인천여자고등학교 부설 방송통신고등학교,인천광역시 연수구 비류대로506번길 14,37.4222112,126.6899302
제물포고등학교 부설 방송통신고등학교,인천광역시 중구 자유공원로 58-9,37.4765733,126.6238621
