,정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,legal_dong
58033,GGB165001022,더샵그린스퀘어107동,37.3697833,126.6510833,2023-10-16,92022.0,23,인천광역시,경기,송도동
58034,GGB165001024,정다운그린빌,37.4384667,126.7486,2023-10-16,92024.0,23,인천광역시,경기,서창동
58035,GGB165001025,임광그대가103동,37.4382667,126.7487333,2023-10-16,92025.0,23,인천광역시,경기,서창동
58036,GGB165001026,운연역,37.43815,126.75975,2023-10-16,92026.0,23,인천광역시,경기,운연동
58037,GGB165001027,운연천,37.44335,126.7629667,2023-10-16,92027.0,23,인천광역시,경기,운연동
58038,GGB165001028,운연천,37.4433,126.7631833,2023-10-16,92028.0,23,인천광역시,경기,운연동
58039,GGB165001029,엘아이지식산업센터(맞은편),37.3894,126.7000833,2023-10-16,92029.0,23,인천광역시,경기,고잔동
58040,GGB165001033,남촌농산물도매시장채소동앞,37.4220333,126.72065,2023-10-16,92033.0,23,인천광역시,경기,남촌동
58041,GGB165001034,남촌농산물도매시장채소동앞,37.4216833,126.7206167,2023-10-16,92034.0,23,인천광역시,경기,도림동
58042,GGB165001064,장수공영차고지,37.4628333,126.75055,2023-10-16,92064.0,23,인천광역시,경기,장수동
58043,GGB165001070,청광플러스원101동앞,37.4302667,126.74815,2023-10-16,0.0,23,인천광역시,경기,서창동
58044,GGB165001071,센트럴푸르지오501동앞,37.43005,126.7481333,2023-10-16,0.0,23,인천광역시,경기,서창동
58045,GGB166000001,동암사거리,37.46805,126.7007333,2023-10-16,40001.0,23,인천광역시,경기,십정동
58046,GGB166000002,종근당,37.4690333,126.6978,2023-10-16,40002.0,23,인천광역시,경기,십정동
58047,GGB166000003,동암사거리,37.4682667,126.7010667,2023-10-16,40003.0,23,인천광역시,경기,십정동
58048,GGB166000005,종근당,37.4694333,126.6979167,2023-10-16,40005.0,23,인천광역시,경기,십정동
58049,GGB166000007,십정시장입구,37.4706333,126.6954667,2023-10-16,40007.0,23,인천광역시,경기,십정동
58050,GGB166000008,십정시장입구,37.4711,126.6941,2023-10-16,40008.0,23,인천광역시,경기,십정동
58051,GGB166000009,수출산업단지6공단입구,37.47215,126.69085,2023-10-16,40009.0,23,인천광역시,경기,십정동
58052,GGB166000010,수출산업단지6공단입구,37.47215,126.69125,2023-10-16,40010.0,23,인천광역시,경기,십정동
58053,GGB166000029,십정사거리,37.47425,126.6921,2023-10-16,40029.0,23,인천광역시,경기,십정동
58054,GGB166000032,인천교통공사,37.4696333,126.7078,2023-10-16,40032.0,23,인천광역시,경기,십정동
