ㄱ,주소,Latitude,Longitude
인천중산초등학교,인천광역시 중구 두미포로 100. 인천중산초등학교 (중산동),37.4950539,126.5656486
인천개흥초등학교,인천광역시 부평구 길주남로65번길 11(부평동. 인천개흥초등학교),37.5052584,126.7283064
인천대정초등학교,인천광역시 부평구 안남로 115(산곡동. 인천대정초등학교),37.4937776,126.7091853
인천상정초등학교,인천광역시 부평구 상정로 50(십정동. 인천상정초등학교),37.4795174,126.6986422
인천갈산초등학교,인천광역시 부평구 갈월동로 55(갈산동.갈산초등학교),37.5122037,126.7283565
인천갈월초등학교,인천광역시 부평구 주부토로 165(갈산동. 인천갈월초등학교),37.5098063,126.7250686
인천구산초등학교,인천광역시 부평구 부개로 93(부개동. 인천구산초등학교),37.5055884,126.7398285
인천동수초등학교,인천광역시 부평구 동수로120번길 10(부개동),37.4844086,126.7316043
인천동암초등학교,인천광역시 부평구 동암남로35번길 4. 동암초등학교 (십정동.동암초등학교),37.4716669,126.7074087
인천마곡초등학교,인천광역시 부평구 마곡로27번길 16(산곡동.인천마곡초등학교),37.5118172,126.6979744
인천마장초등학교,인천광역시 부평구 안남로 266(청천동. 인천마장초등학교),37.5066848,126.709828
인천미산초등학교,인천광역시 부평구 원적로 391(산곡동. 미산초등학교),37.5046786,126.7099823
인천백운초등학교,인천광역시 부평구 아트센터로 130(십정동),37.4797681,126.7046899
인천부개초등학교,인천광역시 부평구 마분로 9.인천부개초등학교(부개동. 인천부개초등학교),37.4854274,126.7385652
인천부개서초등학교,인천광역시 부평구 부일로 39(부개동. 인천 부개서초등학교),37.4898461,126.7352895
인천부곡초등학교,인천광역시 부평구 마장로272번길 73(산곡동),37.5031108,126.7068344
인천부광초등학교,인천광역시 부평구 충선로 104(부개동),37.4988162,126.7366818
인천부내초등학교,인천광역시 부평구 수변로 129(부개동),37.4979053,126.7417852
인천부마초등학교,인천광역시 부평구 안남로253번길 41(산곡동. 인천부마초등학교),37.5064207,126.7059623
인천부원초등학교,인천광역시 부평구 원적로472번길 29(부평동. 인천부원초등학교),37.5020206,126.7195471
인천부평남초등학교,인천광역시 부평구 경인로911번길 28(부평동. 인천부평남초등학교),37.4885816,126.7204097
인천부평동초등학교,인천광역시 부평구 부평대로88번길 19(부평동. 인천부평동초등학교),37.4996601,126.72374
인천부평북초등학교,인천광역시 부평구 주부토로 292(갈산동. 인천부평북초등학교),37.5205624,126.7296184
인천부평서초등학교,인천광역시 부평구 부평문화로53번길 19. 부평서초등학교 (부평동. 북부교육청),37.4950161,126.7213414
인천부흥초등학교,인천광역시 부평구 부흥로366번길 34(부평동. 인천부흥초등학교),37.4964425,126.733292
인천부일초등학교,인천광역시 부평구 부흥북로 175(부개동. 인천부일초등학교),37.5011842,126.7413313
인천산곡초등학교,인천광역시 부평구 길주로354번길 39(산곡동. 인천산곡초등학교),37.507232,126.701776
인천산곡남초등학교,인천광역시 부평구 부흥로144번길 30(산곡동. 산곡남초등학교),37.4969829,126.7067757
인천산곡북초등학교,인천광역시 부평구 산청로 18(산곡동. 인천산곡북초등학교),37.5112468,126.7021291
인천삼산초등학교,인천광역시 부평구 후정동로 44(삼산동),37.5209093,126.7387462
인천용마초등학교,인천광역시 부평구 세월천로30번길 58(청천동. 인천용마초등학교),37.5157534,126.7071251
인천신촌초등학교,인천광역시 부평구 경원대로 1215(십정동. 인천신촌초등학교),37.4809115,126.7024949
인천십정초등학교,인천광역시 부평구 배곶북로 10-6. 인천십정초등학교 (십정동),37.474358,126.6976235
인천일신초등학교,인천광역시 부평구 항동로75번길 36(일신동. 인천일신초등학교),37.4835658,126.7427714
인천청천초등학교,인천광역시 부평구 산청로127번길 12-5(청천동. 인천청천초등학교),37.5205911,126.7009423
인천하정초등학교,인천광역시 부평구 이규보로 14(십정동. 인천하정초등학교),37.4747355,126.7006936
인천한길초등학교,인천광역시 부평구 영성중로 32(삼산동),37.5190869,126.7458123
인천후정초등학교,인천광역시 부평구 영성서로 56(삼산동),37.5228611,126.7434541
인천굴포초등학교,인천광역시 부평구 충선로234번길 19. 인천굴포초등학교 (삼산동),37.5108354,126.7369218
인천진산초등학교,인천광역시 부평구 굴포로 194-10(삼산동. 인천진산초등학교),37.5127543,126.7415419
인천영선초등학교,인천광역시 부평구 충선로 293(삼산동.영선초등학교),37.5151764,126.7345489
인천금마초등학교,인천광역시 부평구 일신로 88(구산동. 금마초등학교),37.4784033,126.7492146
한일초등학교,인천광역시 부평구 원적로 247(산곡동),37.5058207,126.6934481
인천새봄초등학교,인천광역시 연수구 앵고개로104번길 34(동춘동. 인천새봄초등학교),37.4094822,126.6590692
인천첨단초등학교,인천광역시 연수구 송도교육로 20. 인천첨단초등학교 (송도동),37.3729874,126.6548464
인천예송초등학교,인천광역시 연수구 컨벤시아대로252번길 75(송도동. 인천예송초등학교),37.3872829,126.6301297
인천간석초등학교,인천광역시 남동구 석산로208번길 37(구월동. 간석초등학교),37.4588844,126.7160763
인천장서초등학교,인천광역시 남동구 서창남순환로 109(서창동),37.4290199,126.7454874
인천송일초등학교,인천광역시 연수구 컨벤시아대로252번길 15. 인천송일초등학교 (송도동),37.3839956,126.6353647
인천연송초등학교,인천광역시 연수구 해돋이로 248(송도동.인천연송초등학교),37.3999166,126.6391123
인천구월초등학교,인천광역시 남동구 인주대로 721번길 49(구월동.구월초등학교),37.4518914,126.7167632
인천구월서초등학교,인천광역시 남동구 문화서로77번길 14(구월동. 구월서초등학교),37.4526295,126.6957344
인천남동초등학교,인천광역시 남동구 장승남로33번길 10(만수동.남동초등학교),37.444778,126.736078
인천남촌초등학교,인천광역시 남동구 남촌로 101(남촌동. 남촌초등학교),37.4296302,126.7131659
인천논곡초등학교,인천광역시 남동구 함박뫼로 429인천논곡초등학교(논현동),37.4103764,126.7101945
인천현송초등학교,인천광역시 연수구 아카데미로312번길 96(송도동. 인천현송초등학교),37.3938615,126.6204086
인천능허대초등학교,인천광역시 연수구 한진로 12(옥련동. 인천능허대초등학교),37.4235465,126.6487557
인천담방초등학교,인천광역시 남동구 매소홀로 1027(만수동. 담방초등학교),37.4401622,126.7367551
인천도림초등학교,인천광역시 남동구 논고개로334번길 21(도림동. 도림초등학교),37.4189929,126.7317755
인천동막초등학교,인천광역시 연수구 원인재로 36(동춘동.동막초등학교),37.4027717,126.6743371
인천명선초등학교,인천광역시 연수구 컨벤시아대로42번길 64(송도동. 인천명선초등학교),37.4026879,126.6473397
인천송원초등학교,인천광역시 연수구 송도과학로51번길 60. 인천송원초등학교 (송도동),37.3861275,126.6691807
인천한빛초등학교,인천광역시 남동구 서창남순환로 190-28(서창동),37.4240523,126.7442274
인천동부초등학교,인천광역시 남동구 만수서로33번길 25(만수동. 동부초등학교),37.4626819,126.7275524
인천동춘초등학교,인천광역시 연수구 앵고개로 224(동춘동. 동춘초등학교),37.40941,126.668921
인천만수초등학교,인천광역시 남동구 소래로 652(만수동. 만수초등학교),37.4474895,126.7343022
인천만수북초등학교,인천광역시 남동구 백범로180번길 25(만수동. 만수북초등학교),37.459377,126.728747
인천사리울초등학교,인천광역시 남동구 아암대로1437번길 50(논현동. 사리울초등학교),37.3883642,126.7234932
인천송천초등학교,인천광역시 남동구 앵고개로815번길 45(논현동),37.3952908,126.7225995
인천신정초등학교,인천광역시 연수구 아트센터대로97번길 72(송도동.신정초등학교),37.3969385,126.6443679
인천원동초등학교,인천광역시 남동구 논고개로 38(논현동. 원동초등학교),37.3967456,126.7304984
인천만월초등학교,인천광역시 남동구 선수촌로 28(구월동),37.4416327,126.715587
인천문남초등학교,인천광역시 연수구 먼우금로 273. 인천문남초등학교 (연수동),37.420742,126.679975
상인천초등학교,인천광역시 남동구 석산로141번길 29(간석동. 상인천초등학교),37.4620345,126.7069661
인천서면초등학교,인천광역시 연수구 먼우금로 54(동춘동. 인천서면초등학교),37.4037437,126.670643
인천석정초등학교,인천광역시 남동구 석정로539번길 32(간석동. 석정초등학교),37.467167,126.6962773
인천석천초등학교,인천광역시 남동구 남동대로 828. 인천석천초등학교 (구월동),37.4560991,126.7094155
인천선학초등학교,인천광역시 연수구 선학로 67(선학동),37.4237883,126.7003803
인천성리초등학교,인천광역시 남동구 성리로 32-2(구월동. 성리초등학교),37.4456282,126.7099158
인천소래초등학교,인천광역시 남동구 장도로 2(논현동. 소래초등학교),37.4045441,126.7343405
인천송도초등학교,인천광역시 연수구 비류대로214번길 21(옥련동.송도초등학교),37.4264846,126.6586727
인천약산초등학교,인천광역시 남동구 간석로26번길 10(간석동. 약산초등학교),37.4674454,126.7100408
인천연성초등학교,인천광역시 연수구 원인재로 116. 인천연성초등학교 (동춘동),37.4087477,126.6790494
인천연수초등학교,인천광역시 연수구 원인재로 324(연수동. 연수초등학교),37.4222974,126.6943068
인천연화초등학교,인천광역시 연수구 원인재로 150(연수동),37.4110124,126.6815615
인천옥련초등학교,인천광역시 연수구 한진로 30(옥련동. 옥련초등학교),37.4254907,126.6488112
인천인동초등학교,인천광역시 남동구 백범로248번길 38. 인천인동초등학교 (만수동),37.4624188,126.7224378
인천인수초등학교,인천광역시 남동구 인수로 3(만수동. 인수초등학교),37.453894,126.735043
인천장수초등학교,인천광역시 남동구 담방로 121(만수동. 장수초등학교),37.4502614,126.7415789
인천장아초등학교,인천광역시 남동구 서창방산로 93. 인천장아초등학교 (서창동),37.4239555,126.7545794
인천조동초등학교,인천광역시 남동구 백범로124번길 164(만수동. 조동초등학교),37.4607896,126.7398587
인천주원초등학교,인천광역시 남동구 주안로259번길 28(간석동. 주원초등학교),37.4646031,126.6998978
인천먼우금초등학교,인천광역시 연수구 해돋이로84번길 33. 인천먼우금초등학교 (송도동. 인천먼우금초등학교),37.3932249,126.6544103
인천중앙초등학교,인천광역시 연수구 새말로 153(연수동. 중앙초등학교),37.4169646,126.6858078
인천청량초등학교,인천광역시 연수구 먼우금로 158(동춘동. 청량초등학교),37.4116305,126.6744236
인천청학초등학교,인천광역시 연수구 함박뫼로 25(청학동. 청학초등학교),37.4199362,126.670948
인천고잔초등학교,인천광역시 남동구 아암대로1503번길 48. 인천고잔초등학교 (논현동),37.3929378,126.7283834
인천축현초등학교,인천광역시 연수구 청량로 176. (옥련동. 축현초등학교),37.4227689,126.654144
인천신송초등학교,인천광역시 연수구 해돋이로56번길 28(송도동. 신송초등학교),37.3905784,126.6576446
인천함박초등학교,인천광역시 연수구 함박뫼로 87. 함박초등학교 (연수동. 함박초등학교),37.4241458,126.6772181
인천신월초등학교,인천광역시 남동구 인주대로776번길 14. 인천신월초등학교 (구월동. 신월초등학교),37.4477393,126.7236644
인천새말초등학교,인천광역시 남동구 만수로50번길 12(만수동. 새말초등학교),37.4599641,126.7338558
인천서창초등학교,인천광역시 남동구 장아산로174번길 8(서창동. 서창초등학교),37.4356553,126.7507751
인천장도초등학교,인천광역시 남동구 포구로 112(논현동. 인천장도초등학교),37.4078832,126.7335534
인천동방초등학교,인천광역시 남동구 논현역로 31(논현동. 동방초등학교),37.403289,126.7194957
인천논현초등학교,인천광역시 남동구 소래역로 102(논현동. 논현초등학교),37.405197,126.7311235
인천은봉초등학교,인천광역시 남동구 은봉로312번길 11. 은봉초등학교 (논현동),37.4052722,126.7250821
인천정각초등학교,인천광역시 남동구 구월로 228(구월동.정각초등학교),37.4557381,126.715776
인천해송초등학교,인천광역시 연수구 인천타워대로54번길 46. 인천해송초등학교 (송도동),37.3807336,126.6489748
인천상아초등학교,인천광역시 남동구 석산로184번길 66(간석동. 상아초등학교),37.4574658,126.7121955
인천송명초등학교,인천광역시 연수구 송도교육로 19(송도동),37.3742366,126.6560773
인천미송초등학교,인천광역시 연수구 아카데미로 667(송도동. 인천미송초등학교),37.414788,126.6133415
인천은송초등학교,인천광역시 연수구 센트럴로 460(송도동. 인천은송초등학교),37.413758,126.6296541
인천송담초등학교,인천광역시 연수구 아카데미로 627(송도동. 인천송담초등학교),37.4101388,126.6148691
인천박문초등학교,인천광역시 연수구 봉재산로 138-22(동춘동.박문초등학교),37.4030332,126.6654692
인천효성동초등학교,인천광역시 계양구 새벌로171번길 4(효성동. 인천효성동초등학교),37.5329006,126.716464
인천단봉초등학교,인천광역시 서구 단봉로 122(오류동),37.5981802,126.6385399
인천부현동초등학교,인천광역시 계양구 용종로 5(계산동. 부현동초등학교),37.5345204,126.7405282
인천한별초등학교,인천광역시 서구 서로3로 201. 인천한별초등학교 (아라동),37.5974758,126.7066308
경인교육대학교부설초등학교,인천광역시 계양구 안남로 612(효성동) 경인교육대학교부설초등학교,37.5377316,126.7125313
인천도담초등학교,인천광역시 서구 청라커낼로 217(청라동. 도담초등학교),37.5277541,126.64392
인천가원초등학교,인천광역시 서구 청중로478번길 6. 인천가원초등학교 (가정동),37.5293732,126.6642322
인천해든초등학교,인천광역시 서구 서로3로 60(당하동. 인천해든초등학교),37.5890456,126.6974102
인천가석초등학교,인천광역시 서구 서달로 174(가정동),37.5144808,126.6796297
인천가현초등학교,인천광역시 서구 염곡로 417(신현동. 가현초등학교),37.5218403,126.6683899
