,총학생수,전체인구수,교원수총계,학급수총계,학급당학생수,교원당학생수,전체직원수,교지면적,학생1인당교지면적,학원수,학교수,법정동코드,인구수대비학생수
53,391,3314.0,31,22,17.8,12.6,21,22161,55.1,8.0,1,28245123,0.1179843089921545
54,1896,30299.0,130,86,62.3,40.4,55,33235,74.4,195.0,3,28260103,0.06257632265091258
55,670,12925.0,43,33,20.3,15.6,19,12570,18.4,55.0,1,28260104,0.051837524177949706
56,318,4520.0,24,17,18.7,13.3,14,10789,33.2,2.0,1,28260105,0.07035398230088495
57,522,13097.0,32,25,20.9,16.3,18,14692,27.0,51.0,1,28260106,0.039856455676872564
58,543,20476.0,48,32,34.4,22.6,30,22435,82.6,74.0,2,28260107,0.02651885133815198
59,2853,65740.0,183,135,59.4,43.1,71,35181,68.5,411.0,3,28260108,0.04339823547307575
60,2802,29519.0,162,116,64.6,46.0,67,43654,78.4,195.0,3,28260109,0.09492191469900742
61,1498,45748.0,126,89,66.0,46.3,68,59011,173.5,172.0,4,28260110,0.03274460085686806
62,2024,58350.0,163,113,88.2,59.9,87,74320,193.1,355.0,5,28260112,0.0346872322193659
63,2724,49720.0,160,118,92.3,68.2,74,47354,70.2,484.0,4,28260113,0.05478680611423974
64,4538,69466.0,263,188,116.8,84.0,104,58073,71.4,710.0,5,28260114,0.06532692252324879
65,4335,44891.0,252,180,92.5,67.2,88,57067,86.2,960.0,4,28260115,0.09656724064957341
66,320,4500.0,27,19,16.8,11.9,15,12949,40.8,5.0,1,28260118,0.07111111111111111
67,818,5388.0,49,37,22.1,16.7,21,14632,17.5,7.0,1,28260119,0.151818856718634
68,586,18978.0,33,27,21.7,17.8,17,11833,19.7,35.0,1,28260120,0.030877858573084626
69,1278,22160.0,84,58,44.0,30.3,40,24676,38.400000000000006,72.0,2,28260121,0.05767148014440433
70,8226,113170.0,453,336,168.4,124.9,170,89990,80.0,3129.0,7,28260122,0.07268710789078378
71,1101,22356.0,94,62,66.39999999999999,43.1,64,41972,205.5,216.0,4,28710250,0.04924852388620504
72,234,7935.0,20,13,18.0,11.7,14,19721,83.6,5.0,1,28710310,0.02948960302457467
73,106,5086.0,27,15,13.7,8.1,25,19511,408.29999999999995,0.0,2,28710320,0.020841525756979944
74,185,7238.0,22,14,13.2,8.4,15,17820,96.3,9.0,1,28710330,0.02555954683614258
75,61,4550.0,13,7,8.7,4.7,10,14275,209.9,1.0,1,28710340,0.013406593406593406
76,106,4213.0,29,14,15.1,7.5,15,26582,529.4000000000001,0.0,2,28710350,0.025160218371706622
77,41,3042.0,17,7,5.9,2.4,18,13691,351.1,0.0,1,28710360,0.013477975016436555
78,97,4009.0,24,12,16.2,8.1,18,23459,476.90000000000003,0.0,2,28710370,0.024195559990022448
79,42,1913.0,12,7,6.0,3.5,12,13869,330.2,0.0,1,28710380,0.02195504443282802
80,46,3266.0,11,6,7.7,4.2,9,19173,445.9,0.0,1,28710390,0.014084507042253521
81,30,2756.0,12,6,5.0,2.5,11,16367,511.5,0.0,1,28710400,0.01088534107402032
82,27,2116.0,21,12,4.5,2.5,15,20312,1415.1,0.0,2,28710410,0.01275992438563327
83,5,657.0,4,3,1.7,1.3,2,0,0.0,0.0,1,28710420,0.0076103500761035
84,21,2134.0,7,7,5.8,5.8,4,16966,1739.0,0.0,2,28720310,0.009840674789128397
85,159,4903.0,26,14,22.299999999999997,12.0,17,29114,396.7,4.0,2,28720330,0.032429125025494596
86,22,1434.0,6,5,4.4,3.7,3,20769,515.5,0.0,2,28720340,0.015341701534170154
87,195,6567.0,19,13,15.0,10.3,9,19583,96.5,3.0,1,28720360,0.029693924166285975
88,15,1358.0,6,6,5.0,5.0,0,22087,2560.2000000000003,0.0,3,28720370,0.011045655375552283
